State,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2,drinkability
Haryana,8.36,440,29,148,28,0,2.2,0,210,34,31,4,2,0.49,264,14,1
Haryana,8.38,419,12,183,21,8.2,1.2,0,180,28,27,13,6.8,0.62,251.4,14,1
Haryana,8.6,7040,72,488,1559,760,21,0,1531,12,365,571,600,0.31,4224,20,0
Haryana,7.69,11000,0,134,1595,3050,1.2,0,4243,673,618,597,40,0.34,6600,22,0
Haryana,8.38,1343,24,232,191,201,19,0,280,40,44,116,156,0.26,805.8,17,0
Haryana,7.59,4700,0,586,950,550,18,0,1091,160,168,589,15,0.34,2820,27,0
Haryana,8.75,737,24,281,35,80,3.6,0,70,16,7.29,164,2.2,6.8,442.2,11,0
Haryana,8.34,274,12,122,14,17,0,0,130,32,12,14,1.3,0.39,164.4,15,1
Haryana,7.67,6269,0,232,1503,830,28,0,2132,417,265,481,29,0.23,3761.4,25,0
Haryana,7.9,3245,0,720,503,321,5.9,0,620,100,90,447,29,1.6,1947,25,0
Haryana,7.67,5178,0,207,368,1821,11,0,721,124,100,476,581,0.34,3106.8,20,0
Haryana,8.65,2803,84,561,538,43,11,0,450,36,88,369,129,9.9,1681.8,16,0
Haryana,8.85,1708,84,537,212,44,14,0,160,24,24,339,15,4.2,1024.8,19,0
Haryana,8.68,1474,48,403,134,149,5.4,0,210,28,34,257,2.5,3.3,884.4,18,0
Haryana,8.46,3305,72,1428,233,52,28,0,220,0,51,672,21,12,1983,23,0
Haryana,8.61,3123,48,500,562,281,8.1,0,210,20,39,642,1.7,2.1,1873.8,25,0
Haryana,8.49,2878,48,561,340,402,19,0,721,44,148,348,19,1.4,1726.8,24,0
Haryana,8.73,1276,72,403,43,144,7,0,260,20,51,196,2.8,6,765.6,21,0
Haryana,8.62,2353,60,391,454,111,15,0,701,32,151,46,316,3.1,1411.8,25,0
Haryana,8.91,1162,96,317,43,111,3.7,0,220,8.01,49,177,10,0.83,697.2,22,0
Haryana,8.44,318,12,183,14,31,2.5,0,170,40,17,30,1.9,2.8,190.8,18,1
Haryana,8.77,1571,72,525,149,87,6.1,0,280,20,56,199,122,2.7,942.6,18,0
Haryana,9.37,2994,132,744,255,352,19,0,450,20,97,472,81,3,1796.4,18,0
Haryana,8.88,605,24,293,21,0,14,0,250,32,41,37,2.8,0.77,363,20,1
Haryana,8.85,826,24,195,135,45,1.7,0,270,40,41,83,3.5,0.53,495.6,22,1
Haryana,8.9,574,24,195,21,84,11,0,200,36,27,66,1.5,0.34,344.4,12,1
Haryana,8.87,542,24,268,21,27,8.6,0,140,24,19,85,1.5,1.8,325.2,10,1
